,title,decision,authors
405,Unsupervised Pretraining for Sequence to Sequence Learning,Reject,"Prajit Ramachandran, Peter J. Liu, Quoc V. Le"
406,BIOACOUSTIC SEGMENTATION BY HIERARCHICAL DIRICHLET PROCESS HIDDEN MARKOV MODEL,Reject,"Vincent Roger, Marius Bartcus, Faicel Chamroukhi, Hervé Glotin"
407,Learning Recurrent Span Representations for Extractive Question Answering,Reject,"Kenton Lee, Tom Kwiatkowksi, Ankur Parikh, Dipanjan Das"
408,A Neural Stochastic Volatility Model,Reject,"Rui Luo, Xiaojun Xu, Weinan Zhang, Jun Wang"
409,Parametric Exponential Linear Unit for Deep Convolutional Neural Networks,Reject,"Ludovic Trottier, Philippe Giguère, Brahim Chaib-draa"
410,Unsupervised Deep Learning of State Representation Using Robotic Priors ,Reject,"Timothee LESORT, David FILLIAT"
411,Coarse Pruning of Convolutional Neural Networks with Random Masks,Reject,"Sajid Anwar, Wonyong Sung"
412,ENet: A Deep Neural Network Architecture for Real-Time Semantic Segmentation,Reject,"Adam Paszke, Abhishek Chaurasia, Sangpil Kim, Eugenio Culurciello"
413,Understanding trained CNNs by indexing neuron selectivity,Reject,"Ivet Rafegas, Maria Vanrell, Luís A. Alexandre"
414,Multiagent System for Layer Free Network,Reject,"Hiroki Kurotaki, Kotaro Nakayama, Yutaka Matsuo"
415,Classless Association using Neural Networks,Reject,"Federico Raue, Sebastian Palacio, Andreas Dengel, Marcus Liwicki"
416,Cat2Vec: Learning Distributed Representation of Multi-field Categorical Data,Reject,"Ying Wen, Jun Wang, Tianyao Chen, Weinan Zhang"
417,Transformational Sparse Coding,Reject,"Dimitrios C. Gklezakos, Rajesh P. N. Rao"
418,Cortical-Inspired Open-Bigram Representation for Handwritten Word Recognition,Reject,"Théodore Bluche, Christopher Kermorvant, Claude Touzet, Hervé Glotin"
419,Representing inferential uncertainty in deep neural networks through sampling,Reject,"Patrick McClure, Nikolaus Kriegeskorte"
420,Making Stochastic Neural Networks from Deterministic Ones,Reject,"Kimin Lee, Jaehyung Kim, Song Chong, Jinwoo Shin"
421,Information Dropout: learning optimal representations through noise,Reject,"Alessandro Achille, Stefano Soatto"
422,ReasoNet: Learning to Stop Reading in Machine Comprehension,Reject,"Yelong Shen, Po-Sen Huang, Jianfeng Gao, Weizhu Chen"
423,Spatio-Temporal Abstractions in Reinforcement Learning Through Neural Encoding,Reject,"Nir Baram, Tom Zahavy, Shie Mannor"
424,Deep Symbolic Representation Learning for Heterogeneous Time-series Classification,Reject,"Shengdong Zhang, Soheil Bahrampour, Naveen Ramakrishnan, Mohak Shah"
425,A Way out of the Odyssey: Analyzing and Combining Recent Insights for LSTMs,Reject,"Shayne Longpre, Sabeek Pradhan, Caiming Xiong, Richard Socher"
426,Binary Paragraph Vectors,Reject,"Karol Grzegorczyk, Marcin Kurdziel"
427,Generative Paragraph Vector,Reject,"Ruqing Zhang, Jiafeng Guo, Yanyan Lan, Jun Xu, Xueqi Cheng"
428,LSTM-Based System-Call Language Modeling and Ensemble Method for Host-Based Intrusion Detection,Reject,"Gyuwan Kim, Hayoon Yi, Jangho Lee, Yunheung Paek, Sungroh Yoon"
429,Deep Variational Canonical Correlation Analysis,Reject,"Weiran Wang, Xinchen Yan, Honglak Lee, Karen Livescu"
430,Non-linear Dimensionality Regularizer for Solving Inverse Problems,Reject,"Ravi Garg, Anders Eriksson, Ian Reid"
431,Revisiting Batch Normalization For Practical Domain Adaptation,Reject,"Yanghao Li, Naiyan Wang, Jianping Shi, Jiaying Liu, Xiaodi Hou"
432,SqueezeNet: AlexNet-level accuracy with 50x fewer parameters and <0.5MB model size,Reject,"Forrest N. Iandola, Song Han, Matthew W. Moskewicz, Khalid Ashraf, William J. Dally, Kurt Keutzer"
433,Training Long Short-Term Memory With Sparsified Stochastic Gradient Descent,Reject,"Maohua Zhu, Minsoo Rhu, Jason Clemons, Stephen W. Keckler, Yuan Xie"
434,Efficient Calculation of Polynomial Features on Sparse Matrices,Reject,"Andrew Nystrom, John Hughes"
435,"ParMAC: distributed optimisation of nested functions, with application to binary autoencoders",Reject,"Miguel A. Carreira-Perpinan, Mehdi Alizadeh"
436,Chess Game Concepts Emerge under Weak Supervision: A Case Study of Tic-tac-toe,Reject,"Hao Zhao, Ming Lu, Anbang Yao, Yurong Chen, Li Zhang"
437,On the Expressive Power of Deep Neural Networks,Reject,"Maithra Raghu, Ben Poole, Jon Kleinberg, Surya Ganguli, Jascha Sohl-Dickstein"
438,Universality in halting time,Reject,"Levent Sagun, Thomas Trogdon, Yann LeCun"
439,Learning Identity Mappings with Residual Gates,Reject,"Pedro H. P. Savarese, Leonardo O. Mazza, Daniel R. Figueiredo"
440,Parallel Stochastic Gradient Descent with Sound Combiners,Reject,"Saeed Maleki, Madanlal Musuvathi, Todd Mytkowicz, Yufei Ding"
441,Divide and Conquer with Neural Networks,Reject,"Alex Nowak, Joan Bruna"
442,Gradients of Counterfactuals,Reject,"Mukund Sundararajan, Ankur Taly, Qiqi Yan"
443,A Convolutional Encoder Model for Neural Machine Translation,Reject,"Jonas Gehring, Michael Auli, David Grangier, Yann N. Dauphin"
444,Deep Convolutional Neural Network Design Patterns,Reject,"Leslie N. Smith, Nicholay Topin"
445,An Analysis of Feature Regularization for Low-shot Learning,Reject,"Zhuoyuan Chen, Han Zhao, Xiao Liu, Wei Xu"
446,Combating Deep Reinforcement Learning's Sisyphean Curse with Intrinsic Fear,Reject,"Zachary C. Lipton, Jianfeng Gao, Lihong Li, Jianshu Chen, Li Deng"
447,Deep Unsupervised Clustering with Gaussian Mixture Variational Autoencoders,Reject,"Nat Dilokthanakul, Pedro A. M. Mediano, Marta Garnelo, Matthew C.H. Lee, Hugh Salimbeni, Kai Arulkumaran, Murray Shanahan"
448,Improved Architectures for Computer Go,Reject,Tristan Cazenave
449,Learning Python Code Suggestion with a Sparse Pointer Network,Reject,"Avishkar Bhoopchand, Tim Rocktäschel, Earl Barr, Sebastian Riedel"
450,Demystifying ResNet,Reject,"Sihan Li, Jiantao Jiao, Yanjun Han, Tsachy Weissman"
451,Learning similarity preserving representations with neural similarity and context encoders,Reject,"Franziska Horn, Klaus-Robert Müller"
452,Sentence Ordering using Recurrent Neural Networks,Reject,"Lajanugen Logeswaran, Honglak Lee, Dragomir Radev"
453,Knowledge Adaptation: Teaching to Adapt,Reject,"Sebastian Ruder, Parsa Ghaffari, John G. Breslin"
454,Enforcing constraints on outputs with unconstrained inference,Reject,"Jay Yoon Lee, Michael L. Wick, Jean-Baptiste Tristan"
455,Hierarchical compositional feature learning,Reject,"Miguel Lazaro-Gredilla, Yi Liu, D. Scott Phoenix, Dileep George"
456,Learning a Static Analyzer: A Case Study on a Toy Language,Reject,"Manzil Zaheer, Jean-Baptiste Tristan, Michael L. Wick, Guy L. Steele Jr."
457,Filling in the details: Perceiving from low fidelity visual input,Reject,"Farahnaz A. Wick, Michael L. Wick, Marc Pomplun"
458,Modelling Relational Time Series using Gaussian Embeddings,Reject,"Ludovic Dos Santos, Ali Ziat, Ludovic Denoyer, Benjamin Piwowarski, Patrick Gallinari"
459,Compact Embedding of Binary-coded Inputs and Outputs using Bloom Filters,Reject,"Joan Serrà, Alexandros Karatzoglou"
460,A Deep Learning Approach for Joint Video Frame and Reward Prediction in Atari Games,Reject,"Felix Leibfried, Nate Kushman, Katja Hofmann"
461,Pedestrian Detection Based On Fast R-CNN and Batch Normalization ,Reject,"Zhong-Qiu Zhao, Haiman Bian, Donghui Hu, Herve Glotin"
462,An Actor-critic Algorithm for Learning Rate Learning,Reject,"Chang Xu, Tao Qin, Gang Wang, Tie-Yan Liu"
463,Training Group Orthogonal Neural Networks with Privileged Information,Reject,"Yunpeng Chen, Xiaojie Jin, Jiashi Feng, Shuicheng Yan"
464,Progressive Attention Networks for Visual Attribute Prediction,Reject,"Paul Hongsuck Seo, Zhe Lin, Scott Cohen, Xiaohui Shen, Bohyung Han"
465,A Neural Knowledge Language Model,Reject,"Sungjin Ahn, Heeyoul Choi, Tanel Parnamaa, Yoshua Bengio"
466,Fuzzy paraphrases in learning word representations with a lexicon,Reject,"Yuanzhi Ke, Masafumi Hagiwara"
467,What Is the Best Practice for CNNs Applied to Visual Instance Retrieval?,Reject,"Jiedong Hao, Jing Dong, Wei Wang, Tieniu Tan"
468,Rectified Factor Networks for Biclustering,Reject,"Djork-Arné Clevert, Thomas Unterthiner, Sepp Hochreiter"
469,Sampling Generative Networks,Reject,Tom White
470,Learning Locomotion Skills Using DeepRL: Does the Choice of Action Space Matter?,Reject,"Xue Bin Peng, Michiel van de Panne"
471,Iterative Refinement for Machine Translation,Reject,"Roman Novak, Michael Auli, David Grangier"
472,Semantic Noise Modeling for Better Representation Learning,Reject,"Hyo-Eun Kim, Sangheum Hwang, Kyunghyun Cho"
473,Ternary Weight Decomposition and Binary Activation Encoding for Fast and Compact Neural Network,Reject,"Mitsuru Ambai, Takuya Matsumoto, Takayoshi Yamashita, Hironobu Fujiyoshi"
474,Vocabulary Selection Strategies for Neural Machine Translation,Reject,"Gurvan L'Hostis, David Grangier, Michael Auli"
475,Efficient Communications in Training Large Scale Neural Networks,Reject,"Linnan Wang, Wei Wu, George Bosilca, Richard Vuduc, Zenglin Xu"
476,Dynamic Partition Models,Reject,"Marc Goessling, Yali Amit"
477,Learning Efficient Algorithms with Hierarchical Attentive Memory,Reject,"Marcin Andrychowicz, Karol Kurach"
478,Revisiting Distributed Synchronous SGD,Reject,"Jianmin Chen*, Xinghao Pan*, Rajat Monga, Samy Bengio, Rafal Jozefowicz"
479,New Learning Approach By Genetic Algorithm In A Convolutional Neural Network For Pattern Recognition,Reject,"Mohammad Ali Mehrolhassani, Majid Mohammadi"
480,PREDICTION OF POTENTIAL HUMAN INTENTION USING SUPERVISED COMPETITIVE LEARNING,Reject,"Masayoshi Ishikawa, Mariko Okude, Takehisa Nishida & Kazuo Muto"
481,Conditional Image Synthesis With Auxiliary Classifier GANs,Reject,"Augustus Odena, Christopher Olah, Jonathon Shlens"
482,Multi-label learning with semantic embeddings,Reject,"Liping Jing, MiaoMiao Cheng, Liu Yang, Alex Gittens, Michael W. Mahoney"
483,Significance of Softmax-Based Features over Metric Learning-Based Features,Reject,"Shota Horiguchi, Daiki Ikami, Kiyoharu Aizawa"
484,Improving Sampling from Generative Autoencoders with Markov Chains,Reject,"Antonia Creswell, Kai Arulkumaran, Anil Anthony Bharath"
485,Learning to Protect Communications with Adversarial Neural Cryptography,Reject,"Martín Abadi, David G. Andersen"
486,Deep unsupervised learning through spatial contrasting,Reject,"Elad Hoffer, Itay Hubara, Nir Ailon"
487,SoftTarget Regularization: An Effective Technique to Reduce Over-Fitting in Neural Networks,Reject,Armen Aghajanyan
488,Surprisal-Driven Feedback in Recurrent Networks,Reject,Kamil Rocki
